course,grade,citz,satv,satm,acten,actma,actr,actsc,actc,hsgpa,hspercen,acadrate,reclevel,place1,place2,placetot
M151,D-,USA,,,,,,,,3.16,0.83,3,4,,,
M151,A,USA,650,670,,,,,,3.76,0.97,2,5,11,8,19
M151,C-,USA,,,,,,,,3.17,0.85,5,4,10,7,17
M151,A-,USA,,,,,,,,3.56,0.94,2,3,,,
M151,B,USA,690,720,,,,,,3.77,0.89,2,5,,,
M151,W,USA,620,660,,,,,,3,,4,0,,,
M151,B-,USA,,,,,,,,3.62,0.86,3,5,10,7,17
M151,B,USA,,,,,,,,3.65,,3,2,5,7,12
M151,W,USA,540,690,,,,,,2.89,,3,5,15,12,27
M151,F,USA,,,,,,,,3.52,0.86,4,4,,,
M151,A,USA,740,680,,,,,,4,,1,5,10,6,16
M151,A-,USA,660,570,,,,,,4,,1,5,11,7,18
M151,C,USA,610,630,,,,,,3.81,0.99,2,5,12,9,21
M151,C-,USA,,,,,,,,3.4,0.95,3,4,9,3,12
M151,C-,USA,710,610,,,,,,3.03,0.7,4,5,8,0,8
M151,C-,USA,,,,,,,,3.42,0.84,4,5,13,9,22
M151,C+,USA,680,690,,,,,,2.88,,3,5,11,9,20
M151,W,USA,,,,,,,,3.76,,4,4,,,
M151,W,USA,620,610,,,,,,3.17,0.5,3,5,7,6,13
M151,W,USA,,,,,,,,2.92,0.74,4,4,,,
M151,W,USA,,,,,,,,,,3,0,,,
M151,B,USA,630,670,,,,,29,4,0.98,2,4,6,6,12
M151,B,USA,580,700,,,,,,3.1,0.49,4,4,9,8,17
M151,W,USA,,,,,,,,3,,3,4,6,3,9
